"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
A BOY AND HIS BLOB,PS4,,,,
ABZÛ,PS4,,,,
ACES OF THE LUFTWAFFE,PS4,,,,
ACT IT OUT! A GAME OF CHARADES,PS4,,,,
ACTION HENK,PS4,,,,
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PS4,,,,
AGATHA CHRISTIE - THE ABC MURDERS,PS4,,,,
AIR CONFLICTS VIETNAM ULTIMATE EDITION,PS4,,,,
AIR CONFLICTS: PACIFIC CARRIERS,PS4,,,,
ALCHEMIC JOUSTS,PS4,,,,
ALIENATION,PS4,,,,
AMAZING DISCOVERIES IN OUTER SPACE,PS4,,,,
ANOMALY 2,PS4,,,,
ANODYNE,PS4,,,,
APE ESCAPE 2,PS2,,,
ARAGAMI,PS4,,,,
ARC THE LAD: TWILIGHT OF THE SPIRITS,PS2,,,
ASSAULT SUIT LEYNOS,PS4,,,,
ASSETTO CORSA,PS4,,,,
ATARI FLASHBACK CLASSICS VOL 1,PS4,,,,
ATARI FLASHBACK CLASSICS VOL. 2,PS4,,,,
ALEX KIDD IN THE MIRACLE WORLD,PS3,,,,
ALIEN RAGE,PS3,,,,
ALIEN SPIDY,PS3,,,,
ALTERED BEAST,PS3,,,,
ANARCHY: RUSH HOUR,PS3,,,,
ANNA EXTENDED EDITION,PS3,,,,
ANOMALY WARZONE EARTH,PS3,,,,
AQUA PANIC!,PS3,,,,
AR NOSURGE: ODE TO AN UNBORN STAR,PS3,,,,
ARCANA HEART 3,PS3,,,,
ARCANIA THE COMPLETE TALE,PS3,,,,
ARMAGEDDON RIDERS,PS3,,,,
ASURA'S WRATH,PS3,,,,
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS3,,,,
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS3,,,,
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS3,,,,
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS3,,,,
BACK TO BED,PS4,,,,
BAJA: EDGE OF CONTROL HD,PS4,,,,
BARD'S GOLD,PS4,,,,
BASEBALL RIOT,PS4,,,,
BATMAN - THE TELLTALE SERIES - EPISODE 1: REALM OF SHADOWS,PS4,,,,
BATTALION COMMANDER,PS4,,,,
BATTLE CHASERS: NIGHTWAR,PS4,,,,
BATTLE WORLDS KRONOS,PS4,,,,
BATTLEBORN,PS4,,,,
BEN 10,PS4,,,,
BEYOND: TWO SOULS,PS4,,,,
BINARIES,PS4,,,,
BLACK MIRROR,PS4,,,,
BLAST 'EM BUNNIES,PS4,,,,
BLAZBLUE CHRONOPHANTASMA EXTEND,PS4,,,,
BLOOD BOWL 2,PS4,,,,
BLOODBORNE,PS4,,,,
BOKOSUKA WARS II,PS4,,,,
BORDERLANDS: THE HANDSOME COLLECTION,PS4,,,,
BOUND,PS4,,,,
BOUND BY FLAME,PS4,,,,
BRAWLOUT,PS4,,,,
BROKEN AGE,PS4,,,,
BROTHERS: A TALE OF TWO SONS,PS4,,,,
BRUT@L,PS4,,,,
BUBSY: THE WOOLIES STRIKE BACK,PS4,,,,
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR,PS3,,,,
BATMAN: ARKHAM CITY,PS3,,,,
BATMAN: ARKHAM ORIGINS,PS3,,,,
BATTLE PRINCESS OF ARCADIAS,PS3,,,,
BATTLE VS CHESS,PS3,,,,
BATTLEFIELD 4,PS3,,,,
BATTLEFIELD™ HARDLINE,PS3,,,,
BENTLEY'S HACKPACK,PS3,,,,
BIG SKY:INFINITY,PS3,,,,
BIONIC COMMANDO REARMED,PS3,,,,
BIONIC COMMANDO REARMED 2,PS3,,,,
BIOSHOCK,PS3,,,,
BIOSHOCK 2,PS3,,,,
BIOSHOCK INFINITE,PS3,,,,
BLACK KNIGHT SWORD,PS3,,,,
BLADESTORM - NIGHTMARE,PS3,,,,
BLADESTORM: THE HUNDRED YEARS' WAR,PS3,,,,
BLAZBLUE CALAMITY TRIGGER,PS3,,,,
BLAZBLUE CHRONOPHANTASMA,PS3,,,,
BLAZBLUE CONTINUUM SHIFT,PS3,,,,
BLAZBLUE CONTINUUM SHIFT EXTEND,PS3,,,,
BLAZERUSH,PS3,,,,
BLOOD KNIGHTS,PS3,,,,
BLOODRAYNE BETRAYAL,PS3,,,,
BODYCOUNT,PS3,,,,
BOLT,PS3,,,,
BOMBERMAN ULTRA,PS3,,,,
BORDERLANDS 2 ULTIMATE EDITION,PS3,,,,
BORDERLANDS GAME OF THE YEAR EDITION,PS3,,,,
BORDERLANDS: THE PRE-SEQUEL ULTIMATE EDITION,PS3,,,,
BRAID,PS3,,,,
BRINK,PS3,,,,
CARMAGEDDON: MAX DAMAGE,PS4,,,,
CASTLE INVASION: THRONE OUT,PS4,,,,
CASTLESTORM DEFINITIVE EDITION,PS4,,,,
CHESS ULTRA,PS4,,,,
CHRONICLES OF TEDDY: HARMONY OF EXIDUS,PS4,,,,
CITIES: SKYLINES,PS4,,,,
CLOCKWORK TALES: OF GLASS AND INK,PS4,,,,
CLOUDS & SHEEP 2,PS4,,,,
CONTROL,PS4,,,,
COSTUME QUEST 2,PS4,,,,
COUNTERSPY,PS4,,,,
CRIMSONLAND,PS4,,,,
CROIXLEUR SIGMA,PS4,,,,
CAPCOM ARCADE CABINET,PS3,,,,
CARS MATER-NATIONAL,PS3,,,,
CARS RACE-O-RAMA,PS3,,,,
CASTLEVANIA: HARMONY OF DISPAIR,PS3,,,,
CASTLEVANIA LORDS OF SHADOW,PS3,,,,
CASTLEVANIA: LORDS OF SHADOW 2,PS3,,,,
CASTLEVANIA: LORDS OF SHADOW - MIRROR OF FATE HD,PS3,,,,
CATHERINE,PS3,,,,
CEL DAMAGE HD,PS3,,,,
CHAMPION JOCKEY: G1 JOCKEY & GALLOP RACER,PS3,,,,
CRASH COMMANDO,PS3,,,,
CRAZY TAXI,PS3,,,,
CRITTER CRUNCH,PS3,,,,
CUBOID,PS3,,,,
DANDARA,PS4,,,,
DANGEROUS GOLF,PS4,,,,
DANGER ZONE,PS4,,,,
DARK ARCANA: THE CARNIVAL,PS4,,,,
DARK CLOUD,PS2,,,
DARKSIDERS 2 DEATHINITIVE EDITION,PS4,,,,
DARKSIDERS: WARMASTERED EDITION,PS4,,,,
DAY OF THE TENTACLE REMASTERED,PS4,,,,
DEAD ISLAND DEFINITIVE EDITION,PS4,,,,
DEAD ISLAND RETRO REVENGE,PS4,,,,
DEAD NATION: APOCALYPSE EDITION,PS4,,,,
